,id,name,nationality,city,mobile_number,alternate_mobile_number,primary_email_id,alternate_email_id,birthday,tagline,hastags,about,gpa,company name,industry,locality,country,language,industry_knowledge,tools_and_technologies
35,35,Kinaana al-Jamail,India,Kanpur,8936106379,6747082093,14yhk3c4tg@gmail.com,wb9i6a609l@outlook.com,17-11-1985,DODHfrYYeyqwPrWmwObKdADoy,#UBbXqau,OPBjyapzknEThdwNiqnAUwxyOKGoSjZvUlucTfpakIGRsDuOFMaGnbAjMCtRYMUSitxElLQTjoblwanvkypuBAEpTUBJRarloeidLfGKRAgUKjFCnzXMukMzqzDXbAmLVyFecNajkPwFmekaOLcsSRrlLbYhFXgaasmOskwcCkyguPwWAnWjJAPnqfjWjFQWQqtfjOekDcDCHwZmULbYZOkMkzXSTTFLxKaXETRBrtkdpyttjRfqyOwWSB,2.59,kaiser permanente,hospital & health care,"oakland, california, united states",united states,Latin,Norchard Solutions Succession Wizard,Time accounting software
36,36,Daniel Garcia,Peru,Lima,7606821149,7059515231,4m6os3dqt4@gmail.com,m1zau62gm3@outlook.com,13-08-1986,WAYmBjAXRKXhzlrEkkFZIjIRu,#EoIgsAY,RlHjqAWuRdDiuvpqbulLTMrnPiGPglROusjMnOJzsrrBboWctFyzxmtPbaFQzblAZLyTjtssovhJVtBbuqiRUbrAGjiEMmhJJeTslLloYaaVeniDslcumglTEBDXWYYQKLlkkLsWQLjuVRrkNDvddunYIYACxAqnUgvTtmbRsQUgRLudZByiPvpVbwYjEKLUVlCgObjcFenwoMjWrdUbTzpukxirfCniumLBgJvEtmikfXHexLefWoKsrR,3.71,ford motor company,automotive,"dearborn, michigan, united states",united states,Latin,Online advertising reporting software,Analytical or scientific software
37,37,Katrina Saito,Japan,Tokyo,8313231636,9233052986,u1lz1q5r40@gmail.com,a39v4bzpol@outlook.com,14-04-2001,EEDTCCsXACrIsojlQGYhvwbYY,#dNjgdWr,stIhvIBHZVpknTtZdDLKkoDBLSePCwcMSsdjQnoWKTpKjuLqhbpOBlLkMCMXkYmDKaEuaIxDfkIPevbtDvzDDtNemsxodLkUJShqhMrGgKBqcrGLJDULXuTjvgwamQLZRwKvlFFoiaSleMxhojUAYOdlQncblqEMBOjPPMPLRpbIonTGBHAHMPInJXXqRCTBsGnmaCexjwcOAkBFxFkpYeJAVvoxPplMUBMpFLPQCSZnXnqNjXxHVkBEJG,3.26,intel corporation,semiconductors,"santa clara, california, united states",united states,English,Oracle E-Business Suite,Enterprise resource planning ERP software
38,38,Joshua Galloway,United States of America,New York,6850776890,8453350630,z6xr6ne7vh@gmail.com,aipshpai73@outlook.com,25-09-1996,gdfXedPtzUYgleQSHmrBbfqar,#TlKOAVH,hfSMyVUBnajghBqwjsNCKaiHVXSvQRYxMFgRrWJvcoSwoxEhigXWDAAxbQpIPUuMehbEuTMSxKqlWmePclLIybsFukluHKMjTZhBcNPeagGlrZwcbnPKqwfYxlRfyoRCcWIUpliquvuQKochlZNpHAibrVMRGFTHgtrtfaFInAOwQMIEFYwoQrYHswoFEbbTbzVKBbIpAQkLMESYFcvMjPNjWsMhcTohnDHicslGpJqujNlWPcJUjRWWtY,2.1,department of veterans affairs,government administration,"washington, district of columbia, united states",united states,French,Oracle PeopleSoft,Enterprise resource planning ERP software
39,39,Aylin Mendoza,Mexico,Mexico,6763001235,7174275013,rh0l8qteta@gmail.com,3fwx1nqpxp@outlook.com,06-08-2009,SplZRIkUHfVwpRkwjJtngHyeY,#CPznqqT,BGOKMWSlgdbFRERaWdGZmIMXXJJJHHNcIghRrluYSiMRPuxYywqiwDdKbATbtwNEnVXmfBOkClddylQvsjUQDGusBBEBnqhDcQxBsNOjpsvsymOhaPFSwNNITEXQBnepxiviUEtEgFvybMhJXHkTImFfqlbRgWUzumzPoslkYWguMSsOcCGLNuZGiTczJeBKihqLrahdErgtTCuDNgAemgTCZXEwtyEmZKMTFtZZaSCCtArjOJGvDyLVNB,3.79,cisco,computer networking,"san jose, california, united states",united states,Portugese,Oracle Siebel Server Sync,Customer relationship management CRM software
40,40,Sharon Fyfe,United States of America,Los Angeles,7481663063,7768662768,mm71tda24d@gmail.com,18osxhbekt@outlook.com,09-08-2016,xtZoBMZnrEASPfCdLAwUEUJJv,#LDjssxH,NIWNmWQlWJbpjQytdMYUOyaUEZYMLRQalLwJTEceAoZREEZeofomhPwZdMjsfyZlHaZFlBbCJiTltnnszfbRWxbraiRefYiHttSdyTjzqEiFqfRJmJHqNafgjCeMCOMroZvyzFGtezBcznRVIzKACIkcXNfBsblwBhlJyoJtLxOuqRCGqcbUEKnPjgEKYCCgnodObgQlJDfogJPetZTunqcXRsmqozTYEoFhaEghbcbTasaPCSgiuLFqkl,3.43,general motors,automotive,"detroit, michigan, united states",united states,English,PHP: Hypertext Preprocessor,Web platform development software
41,41,Afnaan el-Mohammed,India,New Delhi,7793452436,8540325210,13a9c59fbb@gmail.com,sp9vpcd1po@outlook.com,14-05-1978,YnTrVMkJeECsOLPSPGekwpEIl,#PGakCjA,ivBqKDmVUeOsFIeSjLPgRHjIaDQPAcViFUkpFqGEUbzfELfVmZinVWIoKXhoRfVHnLDAzRNHAvAUxYBOXJCwTYxfJuBYbWaWAFdYHBYBoFKCvAlSPZnhTHnfaOpAbaUNRmCJgCHzvTwjnQprRZgTvMjGAeICKweBFSpeVdAzzImaSzSQQYPdJQCVWpPgJCtcfDjKFjaxfjIXPEvKLrPrCoIvhBtpGsuBhmwCkqyNDCkLClQSNWyHCgZmnH,3.13,pepsico,food & beverages,"purchase, new york, united states",united states,Urdu,Relational database management software,Data base management system software
42,42,Jesse Williams,Russian Federation,Moscow,9199969837,8141265341,w8rgh4moww@gmail.com,9tmb06spn0@outlook.com,03-03-1981,DhBlTdNdkuPpbPYnznfSDGtyO,#NitSAeJ,PtzajTWJgyzdkVBTyygZjRhlHNBVNGkkQwzmYvQvQYdPtkIpGgOJrwLbKccrZvHunWKKGpuUeMaiDWbfVdaCSZquFfuywGmskDpCiYkIbTEyQirlUvVUOkAVojtqGQIRgQiUYUIeymblYKhkjtrGSeofgSaVtPpbGEgHcZANtgrEaXKGEzCDkuTiQnpKQgToyJbciNyoZXKbPvfsaFHGnnVEmErlOJfOaPYHavUmZyUVBGossjGpOUWUrz,3.41,target,retail,"minneapolis, minnesota, united states",united states,Latin,Sage 50 Accounting,Accounting software
43,43,Kenny Fukushima,Japan,Tokyo,6919340174,8579863745,krelr4oy2t@gmail.com,139dtc5yrg@outlook.com,21-03-2010,hIylZjTWijMJZmChDEFzTjoCS,#bcUxsol,WDrAmOaaletpcHheYusuLRBKPbPlYVBjeBbTRfcIjRXFgDCXgmpDxefJwrlNjmIOPdOTdYWXRUhkQDNgtkGBoWhoDCviPXcJCwOyiMrCVIcIeQQvHIGPedeZPdewwCwmnDTuoZbKxMkRMFpEVvIxNZpwxfvXrClajOGtPKlPzQEOFnMiaSgcobTWrmhbOToTIEmrZBfVxmnQctaPHRVNyYqFDuzSmLYaKsNRZRcMKrsAimcBQAoJvhqcTH,2.23,shell,oil & energy,"the hague, zuid-holland, netherlands",netherlands,Indonesian,SAP,Enterprise resource planning ERP software
44,44,Tawnie Glaisher,United States of America,Fremont,9407382026,7302740434,1281vngmzb@gmail.com,oolrjpzxij@outlook.com,05-01-1999,LvtaxYDqVDtOWWyVbwcsVpOFs,#nQgYBFH,wOyZYrvkIQwpxloiogAmSOvcVNzqhnJQABldoWAdBwfoqYPEqHXAgVFOZWPIXWPCOpayIOzTxOTnJWBKLYzIFrbYAcWXzVpIePdhysxuwHYJzUoWKHDvuvgPaTYYLaQCgtuLjNdrdhudmZKYvTghDyDCDaizglLOtQSVaRxikBANCBdEpLEwFqlGpfGMiJJijZaSUhqPYoCAAFQZsQTclQaswwLFsiDvDHMsXsqZlumjGJSoaSXSoqElwi,3.16,hcl technologies,information technology and services,"noida, uttar pradesh, india",india,Indonesian,Structured query language SQL,Data base user interface and query software
45,45,Britany Stevens,United States of America,Lafayette,7079730074,7697016988,ykm9t2l2dq@gmail.com,1vslpd8z9i@outlook.com,02-08-1999,dFysDIbTvtKimsBBOwkvHDQpd,#QVppqqS,fkAsRFgAdoFiIwarWBGOPhfcIFhTWFKsyUzKbVzSXkSqljAPDUobyzSttbCAtapdsxFQkTiXaYsCMMUWqdzzNINPfiwkgFMXOakLWPgErYUaAxsvFcgAwvVtGCJDvdxHvIyPrLkPRxsFSUgfSoDVLAYgnLtXYlyjDiCtmAWgxepUTmtSZSlNsZftmAeHQJvzISjTRBJlBbbmrLSfLdGsGioKRAzftvSFYaUDPXFSfcCbgsRjKyozQASQYW,3.48,ups,transportation/trucking/railroad,"atlanta, georgia, united states",united states,Japanese,Web browser software,Internet browser software
46,46,Alan Trinh,Japan,Tokyo,6820824427,9375756413,6ce32vmefx@gmail.com,mfqcxpbmke@outlook.com,05-10-1983,idwXORLpGWCNwIuGxRQPGfJMm,#aduYMpo,FVMYBbHeMZsItrdZHIldIYzRcDnmYqaZJkDkfcazrJWFvwbBucYcTaVDQThWXieEaArSrluAKcftCEOZfhpDcNVPAPUJiLrZvVDhabxkBiEAVIFAvXgWxcFkgpATNfzUsVJeLDZGIOGrZURXRiEanTEKxnHwPYiqjqgEFKQUoECLNqOpgDaOybyqaaswTQkmHbwgpvslrYLbIvNDyDCbMztyGrRyUyMcyFdzGaxqkyKIQdWzlUmjgbSEqB,3.82,pfizer,pharmaceuticals,"new york, new york, united states",united states,Arabic,Email software,Electronic mail software
47,47,Zoe Kern,United States of America,West Jordan,7445275317,8771079361,h5ofkpevyz@gmail.com,dczissxis7@outlook.com,17-06-2007,LpmcIVCAoNCZQJXPjSBlJmRkt,#tXtSrcp,xkGaNecwdmISpYSVMNqNCmBGapszMAQghlUalhrRucQRwgZzuJSIUywKninkdBoHpCnLKMBqXgtKoVGUmGoeXqjPjwlEDMRbubfcwalSaXOHwcCfYamFzWUAEpkBddYmINnpyVQdttVMlBeCNWdtokEoJVbXnlRZIDShFGhrrRpcinfNsAXYwEFFRsFUINZlezPqtZQeUtyVxnZDzhPxhlyRDEGBJFZbZqBzKPWwUwXmzPCYgmDmwkcUWE,2.32,unilever,consumer goods,"london, greater london, united kingdom",united kingdom,Pushto,Microsoft Access,Data base user interface and query software
48,48,Sidney Beavers,United States of America,Los Angeles,7625733328,7237072206,dm6tl1vi8o@gmail.com,fyxo3escxe@outlook.com,26-03-1968,AqfMocpaOwxhtvExGJglONpvO,#SBtMtwp,TBbeMzTqGHvEyWbCfJJmnVLOUAeFUWeBTeExfPPbCNwMCUcMuCVtOKHXqcMSNZPtntSAURLOsUuWHiliMEQTbmASlBtPVvLUOluuvXBrHgdRwTQXANNJYPDMchkHTFAjMAljvdTCLKQIbweiEsWFOwokleGuEZMlGdKoFUKzeEvfExddbDbFPEdgDGSkqgHoZOaBjlaJpxxZDlvxprBxRICSyhjdEiqlgyykIxgQWJdMJnZVCagpAatbki,3.44,nestlé,food & beverages,"vevey, vaud, switzerland",switzerland,Indonesian,Microsoft Dynamics GP,Enterprise resource planning ERP software
49,49,Miriam Aguilar,Mexico,Mexicali,7335444820,9635487870,1xqyeeylhd@gmail.com,w9zhicx1nz@outlook.com,27-07-1972,IaWRXLbgMnpPimSApkqqHnuYC,#hMncEEe,kvfTKsrXfnTGBQcBjtoHyPzmWatNEitLoOAILwEaWFnKCwFDoVhCLUMgbZkaTibmVfYTisqrPWyvDgSIxkFVWHHUYwlorbERTkYuVGPLdkLsfbVGABQTIwAlwiGtwSEASRXxWlIHsKpWnyHEYXQhjCSFoMSgSihxoBJIYvaKBemxtqDhLfwypnfBtXiBSeHhohECKOkEuLaIGunYFNgRdZgnvPuQjpyumXkXeJumkHzZnDCthmnRAmNfpo,2.8,unitedhealth group,hospital & health care,"minneapolis, minnesota, united states",united states,Swedish,Microsoft Excel,Spreadsheet software
50,50,Issac Mata,Mexico,Tehuacán,8340327700,6917965890,gbif7nn8jp@gmail.com,f98t5z3itm@outlook.com,01-03-1962,hKsyTFkTFxCeVSBkfCkotRHIx,#meZRKyU,bvHuQOxnvBiwtLeRfekdtvCGDqYaRvyawFDbUrsSXoixcFUqpJZnuUGrlcnEQpDcAvSFPSWnviYEfwaLTmLgAtymmCbvyVYcYFaaZGQfxlbluNtIcpWPnEFotMUkULlnFznHTCmDckRffdsQxegtEtJwBqPmjoCbVMbwdjcIvvzIouxpsRrIoqvWQoggHRbEWnRfoeoUagnWrpxXaFtpHlINurbAgoCkClfghgPUACDGcReZpKhdicCPfa,2.69,huawei technologies,telecommunications,"shenzhen, guangdong, china",china,Dutch,Microsoft Office,Office suite software
51,51,Hannah Uren,United States of America,Los Angeles,8593153905,7847859616,xbt6b94e68@gmail.com,dpgz1bsuj6@outlook.com,09-03-1985,AVBzHoMROvsfJwQimaFTUcOls,#lwLwvuw,DUftVBNJlCHiIbIJTLcZseMSmhnRojvBTcruJPEqyFQxGfjPmUBrxLWkOCnGKoaoBdtSNfsJyhyQdSUAnIFwSqpyasXaKHfqXNnuVzPpYNQNQJOqYMhKpAkVvUEKnauykgVHXVQwGxWOlxdpnRiocgoiXOCRewUgwfMXDtyomuaCOHdKDIniyEYoNnfchFrywzWTTrYYiMJndviduUpmDUbXwGGlyjOhKipAgJuwlkSEOrjgnpDBtsgejy,2.9,dell,information technology and services,"round rock, texas, united states",united states,Russian,Microsoft PowerPoint,Presentation software
52,52,Zachary Bradley,Spain,Madrid,7891578910,7798531277,yyzlsm5v70@gmail.com,1wgpyj79jt@outlook.com,17-07-1971,RLZQcEMcjJXeBaJQgQNzYSqQD,#fKDdjYy,byXYWuqrfkqSkuKShhMdhxzfwyQdHWeekUenwmElthkOMGeJaCXgOqkGPlsQPOJhpgQvwBvhbcOzOfUvznnLfmRNQJoWDHyjopQGKaGqOcjZYCdpskQHwzvScrKninCJtxdosyTsKeKZPtawdvwbmVktKWYQuZlhBzsLRxKFqzZLzwHqgSctoWLfwzPAETuLdYukUlATPuQwtGGaOUEnUTNncHJtPtGWImiAzFpfnaEgcbhNkzZsDOnHET,2.77,gsk,pharmaceuticals,"hayes, hillingdon, united kingdom",united kingdom,Dutch,Microsoft Project,Project management software
53,53,Moira Buttitto,United States of America,Los Angeles,8753464165,7656593582,9yuoshj6y6@gmail.com,7ma6axpma7@outlook.com,15-07-1990,ZUaHjMuYIXDfMiKVMeEVeXVmv,#uFiCexR,lSJWgLWZJEDQBPePWkadSqLUNPuYHCVfTIeOdOpoYPiwYPfxHypRWebVrijtmyvmKrQhDGCOJrTyDqPMoAQirfHxkfdUDeyggjlNQpQvqbSMzbhYfnqnRwoCpMxJjPwZUpHILGvTIxwwSiHWnLMOdggPoCclIAHyZNQCnFVBQHGvCjhGXVCKravpyfyPucYYWztIyHBBOzeJkHoVnVKYvFTsGKMqHTvAfFOSXYEgCXyltKlWKuohVCfSEM,3.52,honeywell,electrical/electronic manufacturing,"morristown, new jersey, united states",united states,Arabic,Microsoft Word,Word processing software
54,54,Nicole Humpal,United States of America,Walnut Creek,9426315408,8793051082,nmwc4nwfun@gmail.com,bonlxzley8@outlook.com,07-04-2018,CClzHzlZVWWnhYYqhujLYzkWJ,#bfEYbey,cwSgpdWyFXMqVHhzCRIcyLRdLhZTaBNHpeDGkGOTWNydYUZwxGhaRSmUInbSqEkiOVdEvpPAfXXOOaETHFXIcrBOOaoDznzOcPzWVOIZlstiCHHJjBPoaPxgJrTNvhntnFmrluMgoFIYlikTzSKUQkGaMVdWnYlVLfjikPdKdZJMGJoewBgeYaUPHxYejDUSxKVKhywvFYsaWghaDossgAyeqiaceMRsCVaTYjuchSyQZMddRNllCigykw,3.28,sap,computer software,,,Arabic,SAP,Enterprise resource planning ERP software
55,55,Georgia Williams,United States of America,Memphis,9501655206,9251471204,tpml87fzyy@gmail.com,t26b40vvsp@outlook.com,17-06-1972,aqWaLqqRJBvqaBwDpEcqwViPc,#qeajmPy,BviQuPttcdeaAYVfHpRBJNDijcuSMVpnfxMoLcBhcjbYITfESCVgtlQfCcYhBEHnVdktqxmPAeECOqCtsCtVpgLyAMevjRyxzjMOCBoZxVmLBlJVhxnlaBvgpLxZiLBCEVbBJbUVVofhbrFBFNAjhftVxafaDrPocvxekIVjphNeWiEDCovAMvzmIKzfvidmBUFaDPIBjYFTzQDmAlFyuBsKOZklAPPtnVqHphQaCDXxxdgIGdIhdXrTxk,3.42,schlumberger,oil & energy,"houston, texas, united states",united states,Turkish,Scheduling software,Calendar and scheduling software
56,56,Connor Ferry,United States of America,Charlotte,9951005076,6856108206,0nm6xse5pl@gmail.com,o7wzjtjo1s@outlook.com,20-09-2001,WzKHuzCXtmzJwyyzsoZDjSHRT,#kzaBlJH,lNlQRjRIFqVOjcczckFqqSTXiOKaAeNSvCoWQYfnKEkdKpVqarDijoezOoRJsqmZnDqfNVRcCtJRRAwiZZZtGbkgYAqHUadXnpaWAwmkrxKwBJlMcISpPPyrZmdEeSqAjniPgCzCTuQXkfKXQachQIBUfRFuSXznkvAzcklVXGJTpflZPQGfaJMbJhnSqjSZoSaTmvPvaBCBsnLSpfjdbEKSaikVHwkTseNMUQCnKvgTHLyWtyDkodCDIx,2.24,lockheed martin,defense & space,"bethesda, maryland, united states",united states,Urdu,Teleconferencing software,Video conferencing software
57,57,Amanda Tatum,United States of America,San Diego,7217267618,8830672920,5k55914692@gmail.com,dl5gd7ijyt@outlook.com,05-10-1989,HNCZynLscktirkegSVugwJrPR,#pCUbnsp,aMaKsBKDLpEDcqzkkpoBOhZBiRglSTgjDScGXIfLPVIQYeCuYODczqfyVRzMTGEXTMfzSKnBPKyrVQKPRCYNdbEpWwrbbQdVLwcUASCOMXZbIEJVTpgvueQmLLfmbKhECnRCVkBgazoKJbqaDbeYAJfpaPfuSvwxNJURqRPvQUJrJwgEoNOJkfEbxyIFaQmgoGjIDorPquKeIgzBOyoSqlrrkwTYocQZBDVTWrrmRWvVByRqdvZYlZNLjk,3.66,"ayatama energi, trisco nusantara",design,,,French,Web browser software,Internet browser software
58,58,Cameron Steinberg,United States of America,Los Angeles,8395893891,9648091664,ky0ud7rcoz@gmail.com,45n6ajlfv7@outlook.com,25-10-2002,czZaAPFzPkGqHpuQuFuPsClTw,#citHGkA,DHBiZuIqwzCxnTiaEuHroxjfCWRWRIOuVeLnBRVQtWeBSpcvQuTNmZFeUKCRwsYipwlngPsIgnvMrCDNLljBmklcakFAsqagGTvnxNhmttyVUygcNmrMCWnFSkWOAFZuznFAxkUNYoeyaTozQhtYALhTFzFUOfeajNQkFNRfIcdNIwTGRNelGsaNQHthAOTDmitYJblaztNWWLUEujpeIzJdNsXFZbTRjPDRWLBNnUIPoBqKoBNXBvHWiS,3.34,abb,electrical/electronic manufacturing,"zurich, zurich, switzerland",switzerland,Portugese,ActionWare,Customer relationship management CRM software
59,59,Shuraih el-Karim,Pakistan,Khalabat,9048888021,7314141849,iu6doeptle@gmail.com,o9mcydxy6w@outlook.com,21-10-2007,TBAkyRpRzTqeZFepkdCsVzFui,#EPjXEVP,TIizpFpVkdNMwhDoKIbtRVumagkEIcwVsJhZnsGdUUETFUIKTOUDinMsRDFBpFjBiyMeRpJSijTzNCjwqcQPwaRVTwqPKSteCrdyVAJTSVxyYWxLcbTpyjDTviYTbmIECXokAzJwbHOhaYtQljebbJOxCIOkEuakvPsXcZOfXblafAUBWjtKjvLaZsshIrNPFMdtpdNrPgWYCZWHZFUZZfiLUGArifhRGUGYlncOnjXtfoKpTiKKPNcOuB,3.29,american center of krasnodar,education management,,,Portugese,Adobe Systems Adobe Acrobat,Document management software
60,60,Katelyn Sharp,United States of America,Los Angeles,9481119585,8832833471,sq30fog1j9@gmail.com,kfv4rb07u1@outlook.com,03-10-1975,umQuXhIokbTLkeztMVfJQoJro,#LTNQOsE,zSArcunQVqJfNBRBHrpAVGuLEpgRBocdFopXIIHFOdsEQvhnGRJCPxhBDdsOLeXwkSTlasWSSjNWTgdKrvFvjhfQASURpsJdgzTXDQMLHfpQqCAdCaCgYRIIKFvbffgzmLopjdUkOolEyRfzbKTkcqPdEqPIDOohrHkUdyKeqDtcjMOlvpObxhFVTLJuEgMiWVtTWtzkVwGuJtWMpKBexiHoxXrQfLsgMbvnbTfYacldwgcLPnXMVbXRhh,3.41,starbucks,retail,"seattle, washington, united states",united states,Indonesian,Adobe Systems Adobe Photoshop,Graphics or photo imaging software
61,61,Colin Lemont,China,Shanghai,7350160738,8015245222,itu8jvujsq@gmail.com,hs2cvdja7c@outlook.com,28-05-1988,EkjfuDtJOhmOdIyUgeMEeWmNZ,#JDJKeZd,wGGaxYifBGLkDcgyTZarzAomroKkUQOrBoULPjIjcycAgeacHkrloAPqkxlUnZKssFvopRlNHoKADAEzRclpIzfzxvnamARgJlvujeqDIJqctVrbAIMOgnpVjBFcKfrsVGDVzTrHkNQVwAXTvYXuctWmGzQTPgkRctuAQUfnzayOReSOAeFGYmPmyAEqvcnMMSNTSxVrtwSaWobLtmbwOFxkAxHundcbJCERRuRCPybObCzswUpPRzikVE,3.06,promobroker agente de seguros y de fianzas s a de c v,insurance,,,Indonesian,ADP Workforce Now,Human resources software
62,62,Donald Nevins,United States of America,San Jose,9702979939,9947536055,7a7rhhor9u@gmail.com,zfmnsw8ar5@outlook.com,07-12-1964,iQNOItHFPvUcxUVcdiSWtgOio,#QmoXqMi,sHtaNDhqOAtPYrNeyHAAuaNEmfmeTqDlCoIAOOrkrFzdaSAmoQZRUyhOEsUdBCeMJWHhWlxbFGGCprVEtiZJxjOOHrresOmcRrCvziKIJkYHWkxpluMMTTHrXOFZAJEdQOALNmWaBstWTBHEokkqzJMjzwdDOUdwNjNsbrxQRyKiohyJYbrTEVoOgAlIojtlIqOjNSHZtDjjXzCvBazcDnGDFeKNWBBoeYlBsUpFiZYEZVjeJOEPBRPaVn,2.7,morgan stanley,financial services,"new york, new york, united states",united states,Tamil,AMG Teleran SalesInSync,Customer relationship management CRM software
63,63,Macaela Kadillak,United States of America,Los Angeles,9851588521,6719371851,t4tsl4n9x3@gmail.com,42t3yud2nc@outlook.com,28-03-1969,pOcQCsFgZyDbUHYQvSuozGtIX,#DDpzKrz,aUyorcNicnaRRyQndzkUHOpFzpdrJQXjlvYqokyHXimXJcSqFNvJZDMLlpgVqzpcSbHbIWUfCERIvewBHcCtEgJCCidMhRquFpXAdquxlGoeNPGtjAJTQeJIucxnqMfrhDmTNyoFaLUsRdewaOGzvilxtdJLiISQITnYQGCuwEKhrweGfxcaGDwQsWDAZBlXUVKAIQuEPBdWhzqQeVyGrBZgVvJoIJJGqndwQTcpOpNNjQHqCIvFejGkAC,2.9,the home depot,retail,"atlanta, georgia, united states",united states,Swedish,Apache Hadoop,Data base management system software
64,64,Brittany Pratt,United States of America,San Diego,9832257100,9418529959,9tig2stlbd@gmail.com,8mv43x67qq@outlook.com,02-10-1969,KCShtUHxxwcbTfaRhfsRlxFRY,#qzcIOgy,ItsQUhHrDuoTNqwtAXUnObptBQJmDIbpOeSnlsRqEdgmFGILeKOSeWnnxfrmcGlJOwBHrTRLlTtKyAddDiWryBLWSmnkBXyAjJXbUFitEwZBTmTtCrKWrVorrskkxaUWfyJhRczyJfmQIQHqfJPTJfdkwBUHkubbohiTkzvQtmqyskZdAzumofxEiIDNPIrgyJhQLKQnvzQkCwLAhHhJWksZKFknyidGJJfGaAqvpXmDVYuwkzeJkEhmLC,3.89,independiente,photography,,,Persian,Apple Final Cut Pro,Video creation and editing software
65,65,Cameron Hancock,Poland,Warsaw,9635342109,6909952884,fyfj9yxk0m@gmail.com,1nv5tt8s1l@outlook.com,08-01-1984,YesmmJlgKhykCFCDoKlYuyADU,#lGIkYXc,mRuCjwbwjdIXqDwLibLXTMmqIyQxVCBQCsZvdddpGSJzziOpaMOKstNXSnquYPhScUGWSsrMuaugdbmNtDPstIUvPgjSyZUiamLhDZECREBDLgbITzyPlCYyVDceCtgYfdxIBoOtSFtVvKBvsgQKCqhHdWvGOJYiEYfRoBAuRGpxhvLbivFFfrYYWnmOjFAsZuSKlaVWJcikqFMNcLOYlJhwiuKuSuYMOvOCqMjSEyXkKZjWkuSFPFducd,3.11,novartis,pharmaceuticals,"basel, basel-city, switzerland",switzerland,Russian,Apple macOS,Operating system software
66,66,William Grevious,United States of America,Stockton,8966672918,9847724053,wg2j0but2a@gmail.com,z4e20p9w02@outlook.com,27-08-1981,GcmyHQMqKQhgfQDgUAsZbdMSa,#EqjESpR,YvfcrnFKGcDZbeGzRoqqxseNZXlBEknRVnccvmHVkEHmmqaJbXonLHhnvgjUVpDKoMuOTUjOkLCeoWqgIqJodhThVCosyVxZBxLpCQXZNaVjeybTDAskCwXYxaqASqHOltBiVfDWjDafEVeWbhYILtEyGivuGXabCAYNOwFuKVvWzyrIYgkSuhNrYWWyByTVxChVNvuyVLxIheaOfDKgrVXVkmqQBCHMudqnHspWQZRASsqipjiwesvJQE,3.73,johnson & johnson,hospital & health care,"new brunswick, new jersey, united states",united states,Thai,Atlassian JIRA,Content workflow software
67,67,Lindsey Job,United States of America,Los Angeles,7908691284,8443186436,f109cdanfw@gmail.com,f6f33py7y2@outlook.com,11-08-1987,cwzvlGianYOZTBvIzKECfwyrX,#Zvfzdpe,OwWDHJxFxrBTlRsvhzOswfyjVgvoJZUghvVQjlqguHzKjPLXbTbsOvfQZPneUnCOntQalZYPlCzRegkBkdMsHhzcALHaYermAVzOwqOaprrasLcImcWezpvlvZEIftLEYMnOKsvjqMZocDTjyuzKPZCxroUoCfJhoDClPpSrweUzyKhhvpmfToXcoeQqQSmKPHtrcohXcpeRlewocokKeXOQscLhaGpVlWwDKnfjyyjIIQIdSknKjAkGCA,2.52,bp,oil & energy,"london, greater london, united kingdom",united kingdom,Korean,Autodesk AutoCAD,Computer aided design CAD software
68,68,Gabrielle Smith,Korea (Republic of),Seoul,7938423356,7788785068,indm3b2p0o@gmail.com,kjrev8dktg@outlook.com,25-01-1967,BWEJXAdqvFDRhBskAnjdckgUm,#UxNAOAb,nxLrvmFsqYBEoFeCDzVoSQXmYOYOAcLtVaAUZqVegykmJscBgZKMPPiLtXQiOcZvNhgiSSptKsWKrIHtrJVAvjTCdRQzTocadYqTZWEOuCvGFTwWlupYNVyGGkDlejtWtPIHpZhcNFINxLagrFPrdPiycPTZxxjNhULfyeCLNgfpONqgMfBnMoXnsylbuQagRyoBnNMnnyIhFWVeJFvWVtvFEoZiHYiKcyEMCymENDzxIRIFvkqgFhEvie,2.84,schneider electric,electrical/electronic manufacturing,"erlanger, kentucky, united states",united states,Urdu,Avidian Technologies Prophet,Customer relationship management CRM software
69,69,Allison Brink-Lomme,United States of America,Portland,9661281683,8699238469,c8pqpekzyr@gmail.com,99rikt4rqe@outlook.com,23-08-2007,lRQeTZTkdXmvEZCmUAHlnEYkh,#BBoGLVR,WLKhElNCTTrtHHUaXyDlXvkWkrlpKPEDsLNOGypnRdcycVubfOTvuvgslNysqlHjLwXrAeiDkSStMYeQdGGkoCVlmgCsIXWuVBgDdHeDUyLfryDOQdxLgFjxrVJRLCYIXTkkdGNfIPRysVisEdTSMXNaflsYIgzsspNsBxEpLoqqBSnxJDHlKgFhPXRNnfjAjqlUVFrScIJHVwenTtczhPXhbJHzvUBTPrsFgPXtaJFzABFiKEUFQPYrfe,2.51,state farm,insurance,"bloomington, illinois, united states",united states,Thai,Blackbaud The Raiser's Edge,Customer relationship management CRM software
